Date/Time,CPU Usage %,Temperature C
2022-03-22 02:58:31.397294,0.5,35
2022-03-22 02:58:41.656598,0.9,34.5
2022-03-22 02:58:51.978999,0.3,34.5
2022-03-22 02:59:02.253320,0.6,35.5
2022-03-22 02:59:12.516129,0.5,36
2022-03-22 02:59:22.766437,0.5,35.5
2022-03-22 02:59:33.023192,0.5,36
2022-03-22 02:59:43.270725,0.9,35
2022-03-22 02:59:53.736800,0.3,35.5
2022-03-22 03:00:03.992468,0.7,36
2022-03-22 03:00:14.222620,0.4,35.5
2022-03-22 03:00:24.473492,0.8,35.5
2022-03-22 03:00:34.734746,0.5,36
2022-03-22 03:00:44.986565,1,36.5
2022-03-22 03:00:55.240150,0.3,35.5
2022-03-22 03:01:05.492098,0.7,34.5
2022-03-22 03:01:15.753541,0.4,35
2022-03-22 03:01:25.997621,0.5,35
2022-03-22 03:01:36.221368,0.4,35.5
2022-03-22 03:01:46.580954,0.8,35.5
2022-03-22 03:01:56.844836,0.5,35.5
2022-03-22 03:02:07.115450,0.6,35.5
2022-03-22 03:02:17.350813,0.4,35
2022-03-22 03:02:27.690257,0.5,35.5
2022-03-22 03:02:37.998188,0.5,35
2022-03-22 03:02:48.250301,0.9,36.5
2022-03-22 03:02:58.481929,0.4,35
2022-03-22 03:03:08.729175,0.6,35.5
2022-03-22 03:03:18.984996,0.3,36
2022-03-22 03:03:29.236605,0.4,35.5
2022-03-22 03:03:39.480977,0.8,36.5
2022-03-22 03:03:49.732262,0.4,34.5
2022-03-22 03:03:59.992038,0.4,35.5
2022-03-22 03:04:10.247434,0.4,35.5
2022-03-22 03:04:20.489281,0.5,35
2022-03-22 03:04:30.763725,0.5,35
2022-03-22 03:04:41.003234,0.8,35.5
2022-03-22 03:04:51.309432,0.3,35.5
2022-03-22 03:05:01.838273,0.6,36
2022-03-22 03:05:12.086050,0.4,36.5
2022-03-22 03:05:22.337790,0.5,36
2022-03-22 03:05:32.586366,0.5,35
2022-03-22 03:05:42.805207,0.7,35
2022-03-22 03:05:53.057069,0.4,34.5
2022-03-22 03:06:03.323767,0.4,35
2022-03-22 03:06:13.568088,0.4,35
2022-03-22 03:06:23.828140,0.4,35
2022-03-22 03:06:34.055662,0.5,35.5
2022-03-22 03:06:44.291163,0.9,35.5
2022-03-22 03:06:54.585453,0.4,35.5
2022-03-22 03:07:04.819238,0.6,35
2022-03-22 03:07:15.090448,0.4,35
2022-03-22 03:07:25.365018,0.7,35
2022-03-22 03:07:35.618315,0.6,34.5
2022-03-22 03:07:45.917673,0.9,35.5
2022-03-22 03:07:56.159099,0.3,37
2022-03-22 03:08:06.403719,0.6,36
2022-03-22 03:08:16.675231,0.4,36
2022-03-22 03:08:26.921561,0.4,35.5
2022-03-22 03:08:37.284744,0.6,35.5
2022-03-22 03:08:47.640679,0.9,35.5
2022-03-22 03:08:57.897455,0.5,35.5
2022-03-22 03:09:08.145412,0.6,35
2022-03-22 03:09:18.469244,0.4,35.5
2022-03-22 03:09:28.759546,0.4,36
2022-03-22 03:09:38.975777,0.8,35
